"","Age","L","Median","S","C1","C3","C5","C15","C25","C50","C75","C85","C95","C97","C99"
"11",70,-0.862821534744809,17.3260823091709,0.0992697957036865,14.0116328422499,14.5628292331918,14.8693776166477,15.7099957678518,16.2464559541075,17.3260823091709,18.5474778747342,19.281979192836,20.6642846185501,21.2566761671082,22.474027257371
"12",71,-0.878626698932628,17.376366135023,0.0997704178352803,14.043729881997,14.5967167931207,14.9044593115429,15.7491192961951,16.2887764130305,17.376366135023,18.6088726658494,19.3509680841955,20.7495225905743,21.349694506234,22.5846341333473
"13",72,-0.894066629392249,17.426996084218,0.100275196139443,14.0759636291656,14.6307515777478,14.9396963787003,15.7884337765853,16.331324626993,17.426996084218,18.6707765426022,19.420558877459,20.8355420758832,21.4435792943127,22.6963095942382
"14",73,-0.909129462736019,17.4779922570926,0.100784030683515,14.1083492194571,14.6649492453925,14.9751047630926,15.8279560452889,16.3741182105862,17.4779922570926,18.7332118090283,19.4907736089375,20.9223611676206,21.5383455995063,22.8090601390588
"15",74,-0.923804802001666,17.5293756966421,0.101296808655077,14.1409030177326,14.6993266508061,15.0107015872628,15.867704056028,16.4171758474018,17.5293756966421,18.796201599214,19.5616351068074,21.0099986650232,21.6340091285757,22.9228926508342
"16",75,-0.938082228871621,17.5811660739475,0.101813398376828,14.173640421819,14.7338997121097,15.0465030408452,15.9076947809316,16.4605151559841,17.5811660739475,18.8597672146691,19.6331640626319,21.0984705191931,21.7305823501398,23.03780974511
"17",76,-0.951951527343981,17.6333806246462,0.102333681739812,14.2065736985562,14.768681617658,15.0825227715119,15.9479429975689,16.50415162426,17.6333806246462,18.9239270853175,19.70537825224,21.1877900098183,21.8280752508618,23.1538120100334
"18",77,-0.965403678412106,17.6860354034787,0.102857585458389,14.2397117032975,14.803683077712,15.1187724008157,15.9884623701608,16.5480998950917,17.6860354034787,18.9886980578563,19.7782942541144,21.2779710760035,21.9264996582448,23.2709049071329
"19",78,-0.978433101671191,17.7391453576877,0.10338505972948,14.2730626804619,14.8389139416481,15.1552625789563,16.0292653951831,16.5923734004785,17.7391453576877,19.0540962624837,19.8519282933409,21.3690282384593,22.0258684765541,23.3890961460157
"20",79,-0.991037338578559,17.7927249585481,0.103916040212577,14.3066356719832,14.8743845553459,15.192004301489,16.0703645581555,16.6369853765991,17.7927249585481,19.1201372255959,19.9262960337007,21.4609757716726,22.1261945863712,23.5083940116537
"21",80,-1.00321390461351,17.8467888052541,0.104450407089682,14.3404409576654,14.9101064726889,15.2290097356485,16.1117733269668,16.6819498377119,17.8467888052541,19.1868356756803,20.0014117838457,21.5538255010888,22.2274879116557,23.6288026654097
"22",81,-1.01495933352065,17.9013515195592,0.10498799084506,14.3744897177123,14.9460920907151,15.2662918480694,16.1535057978523,16.7272812712617,17.9013515195592,19.2542055891332,20.0772884860641,21.6475863851477,22.3297547104738,23.7503206160695
"23",82,-1.02626944100783,17.9564262962668,0.105528590268654,14.4087923852078,14.9823530404174,15.3038628174497,16.195575166304,16.7729931414215,17.9564262962668,19.3222588271265,20.1539364533308,21.7422635338721,22.4329967484437,23.8729402698167
"24",83,-1.03714163325908,18.0120242670411,0.106071989628806,14.4433580862244,15.0188996594567,15.3417335232435,16.2379932366228,16.8190973817079,18.0120242670411,19.3910045627369,20.2313631173095,21.8378591475235,22.5372129814209,23.9966515889708
"25",84,-1.04757513216466,18.068154939616,0.106617929734988,14.4781961015241,15.0557421989567,15.3799146204472,16.2807711837502,16.8656050051099,18.068154939616,19.4604495114772,20.3095730185627,21.9343718406696,22.6423985176147,24.1214401805933
"26",85,-1.05757207754054,18.1248268316522,0.107166129204056,14.5133159120779,15.0928910295794,15.4184168293778,16.3239200382472,16.9125266757101,18.1248268316522,19.5305987618575,20.3885689716917,22.0317988908335,22.7485475128562,24.2472918744085
"27",86,-1.06713840589143,18.1820478141859,0.107716300561665,14.5487273300331,15.1303567763348,15.4572510781924,16.3674508700552,16.9598729334959,18.1820478141859,19.6014563842734,20.4683529416736,22.1301378678883,22.8556552320132,24.3741959028177
"28",87,-1.07628049302604,18.239823930547,0.108268134586533,14.5844400730097,15.1681493862892,15.496427330606,16.4113731746247,17.0076525170151,18.239823930547,19.6730245820639,20.5489246764213,22.2293828353201,22.9637126440982,24.5021351403528
"29",88,-1.08500469576203,18.2981604624213,0.108821292663024,14.6204647089828,15.2062791095753,15.5359555832962,16.455695903711,17.0558734088658,18.2981604624213,19.7453047258181,20.6302826663484,22.3295250372172,23.0727069347369,24.6310861357944
"30",89,-1.09331927862268,18.3570632328176,0.109375409321802,14.6568137476587,15.2447577955246,15.5758472568728,16.5004290190846,17.104544396252,18.3570632328176,19.8182985148696,20.7124255801718,22.4305555871667,23.1826250220874,24.7610248797953
"31",90,-1.10123533968637,18.4165371855083,0.109930102239492,14.6934996036893,15.2835973571759,15.6161138926694,16.5455825975854,17.1536742127242,18.4165371855083,19.8920059317537,20.7953503639009,22.532464897066,23.2934539642327,24.8919299906994
"32",91,-1.10876227082802,18.4765844750896,0.11048496914135,14.730531885665,15.3228072618237,15.6567647432259,16.5911646537237,17.2032694784374,18.4765844750896,19.966423031823,20.8790494574437,22.635237961999,23.4051750578994,25.0237736518293
"33",92,-1.11590897138115,18.5372062976507,0.111039562898737,14.7679204303175,15.3623971238306,15.697809149181,16.6371830643719,17.2533364693603,18.5372062976507,20.0415439579476,20.9635127393773,22.7388558338645,23.5177649904515,25.1565219003334
"34",93,-1.12268351832162,18.5984028394385,0.111593401316366,14.8056751618482,15.402376460712,15.739256252061,16.6836452309064,17.3038808129132,18.5984028394385,20.1173611851653,21.0487278100099,22.8432956898088,23.6311957045415,25.2901338606019
"35",94,-1.12909394536469,18.6601736114713,0.112145943463181,14.8438067681602,15.4427555367919,15.7811159045648,16.7305590438024,17.354908362215,18.6601736114713,20.193865193596,21.134679505982,22.9485305337821,23.7454343645445,25.4245625970649
"36",95,-1.13515048849522,18.7225161473957,0.112696648938792,14.8823243640074,15.4835432831209,15.823396728642,16.7779312764776,17.4064237486399,18.7225161473957,20.2710436617752,21.2213498723925,23.0545316748649,23.8604473381823,25.5597630455533
"37",96,-1.14086815128786,18.7854269490801,0.113244972349184,14.9212383280323,15.5247492934269,15.8661077071893,16.8257683703916,17.4584309421653,18.7854269490801,20.3488832826523,21.3087202591732,23.1612709377519,23.9762023351368,25.6956938577813
"38",97,-1.14626354641626,18.8489014489528,0.113790348394724,14.9605598276036,15.5663834662958,15.90925788175,16.8740762549936,17.5109331316365,18.8489014489528,20.4273694720461,21.3967705557606,23.2687182929497,24.0926650475186,25.8323113901002
"39",98,-1.15135188667802,18.912933737229,0.11433222976248,15.000297885034,15.6084538727209,15.9528546229734,16.9228595182756,17.563932271735,18.912933737229,20.5064859666938,21.4854788497616,23.3768418541651,24.2097993509843,25.9695703775033
"40",99,-1.15614570468916,18.9775165177969,0.114870081312057,15.0404594124858,15.6509666602454,15.9969034744072,16.9721211512799,17.6174288324956,18.9775165177969,20.5862148868469,21.5748212654379,23.4856066748547,24.3275654006955,26.1074200820634
"41",100,-1.1606562816839,19.0426417546708,0.115403369008725,15.0810503372683,15.693927140664,16.0414092155398,17.0218635206162,17.6714226885248,19.0426417546707,20.6665372121734,21.6647725050485,23.5949757785395,24.4459210225066,26.2458067301199
"42",101,-1.16489279283883,19.1083007032984,0.115931586517602,15.1220741930266,15.7373387953058,16.0863750783877,17.0720880672481,17.7259130267868,19.1083007032983,20.747432857455,21.7553061056219,23.7049110599232,24.5648229998005,26.3846757819893
